order_id,customer_id,delivery_method_id,employee_id,order_date,total_cost
ORD1,CMR1,DEL1,EMP6,44062,
ORD2,CMR2,DEL3,EMP4,43848,
ORD3,CMR3,DEL1,EMP3,44100,
ORD4,CMR4,DEL3,EMP1,44028,
ORD5,CMR5,DEL2,EMP2,44178,
ORD6,CMR6,DEL1,EMP5,44117,
ORD7,CMR7,DEL1,EMP6,44143,
ORD8,CMR8,DEL1,EMP4,44161,
ORD9,CMR9,DEL2,EMP6,44007,
ORD10,CMR10,DEL3,EMP1,43885,
ORD11,CMR11,DEL2,EMP3,44009,
ORD12,CMR4,DEL1,EMP5,44072,
ORD13,CMR13,DEL3,EMP1,44099,
ORD14,CMR18,DEL3,EMP4,43835,
ORD15,CMR19,DEL2,EMP6,44011,
ORD16,CMR20,DEL1,EMP2,44067,
ORD17,CMR21,DEL2,EMP2,44180,
ORD18,CMR22,DEL1,EMP2,44048,
ORD19,CMR23,DEL3,EMP5,44169,
ORD20,CMR24,DEL1,EMP6,43897,
ORD21,CMR4,DEL1,EMP4,44080,
ORD22,CMR26,DEL3,EMP1,43873,
ORD23,CMR27,DEL1,EMP2,44047,
ORD24,CMR28,DEL3,EMP5,44130,
ORD25,CMR29,DEL2,EMP4,44171,
ORD26,CMR8,DEL1,EMP6,43957,
ORD27,CMR31,DEL1,EMP2,44026,
ORD28,CMR34,DEL2,EMP3,44013,
ORD29,CMR35,DEL1,EMP1,44003,
ORD30,CMR8,DEL3,EMP2,44112,
ORD31,CMR37,DEL1,EMP3,44180,
ORD32,CMR38,DEL1,EMP6,43976,
ORD33,CMR39,DEL3,EMP1,43988,
ORD34,CMR40,DEL1,EMP3,44017,
ORD35,CMR41,DEL1,EMP6,43949,
ORD36,CMR42,DEL3,EMP4,44097,
ORD37,CMR43,DEL3,EMP3,44093,
ORD38,CMR8,DEL2,EMP1,43934,
ORD39,CMR45,DEL1,EMP2,43856,
ORD40,CMR34,DEL2,EMP3,43920,
ORD41,CMR35,DEL1,EMP5,43953,
ORD42,CMR36,DEL3,EMP1,44079,
ORD43,CMR37,DEL1,EMP4,43873,
ORD44,CMR38,DEL1,EMP6,44033,
ORD45,CMR39,DEL3,EMP6,44188,
ORD46,CMR40,DEL1,EMP1,43942,
ORD47,CMR8,DEL1,EMP3,43898,
ORD48,CMR42,DEL3,EMP6,43844,
ORD49,CMR43,DEL3,EMP1,43872,
ORD50,CMR44,DEL2,EMP1,44148,
